,query,symbol
368,ENSG00000136826,KLF4
369,ENSG00000136859,ANGPTL2
370,ENSG00000137078,SIT1
371,ENSG00000137331,IER3
372,ENSG00000137507,LRRC32
373,ENSG00000137692,DCUN1D5
374,ENSG00000137693,YAP1
375,ENSG00000137726,FXYD6
376,ENSG00000137809,ITGA11
377,ENSG00000137965,IFI44
378,ENSG00000138061,CYP1B1
379,ENSG00000138080,EMILIN1
380,ENSG00000138101,DTNB
381,ENSG00000138434,ITPRID2
382,ENSG00000138449,SLC40A1
383,ENSG00000138615,CILP
384,ENSG00000139193,CD27
385,ENSG00000139329,LUM
386,ENSG00000139567,ACVRL1
387,ENSG00000139626,ITGB7
388,ENSG00000139629,GALNT6
389,ENSG00000140105,WARS1
390,ENSG00000140368,PSTPIP1
391,ENSG00000140511,HAPLN3
392,ENSG00000140526,ABHD2
393,ENSG00000140545,MFGE8
394,ENSG00000140859,KIFC3
395,ENSG00000140961,OSGIN1
396,ENSG00000141401,IMPA2
397,ENSG00000141424,SLC39A6
398,ENSG00000141499,WRAP53
399,ENSG00000141526,SLC16A3
400,ENSG00000141574,SECTM1
401,ENSG00000141736,ERBB2
402,ENSG00000141738,GRB7
403,ENSG00000141741,MIEN1
404,ENSG00000141753,IGFBP4
405,ENSG00000142089,IFITM3
406,ENSG00000142102,PGGHG
407,ENSG00000142173,COL6A2
408,ENSG00000142279,WTIP
409,ENSG00000142552,RCN3
410,ENSG00000142694,EVA1B
411,ENSG00000142871,CCN1
412,ENSG00000142875,PRKACB
413,ENSG00000143196,DPT
414,ENSG00000143248,RGS5
415,ENSG00000143320,CRABP2
416,ENSG00000143333,RGS16
417,ENSG00000143369,ECM1
418,ENSG00000143416,SELENBP1
419,ENSG00000143514,TP53BP2
420,ENSG00000143546,S100A8
421,ENSG00000143851,PTPN7
422,ENSG00000144802,NFKBIZ
423,ENSG00000144857,BOC
424,ENSG00000145012,LPP
425,ENSG00000145423,SFRP2
426,ENSG00000145506,NKD2
427,ENSG00000145632,PLK2
428,ENSG00000145824,CXCL14
429,ENSG00000146476,DCPH1
430,ENSG00000146674,IGFBP3
431,ENSG00000147526,TACC1
432,ENSG00000147862,NFIB
433,ENSG00000148288,GBGT1
434,ENSG00000148308,GTF3C5
435,ENSG00000148400,NOTCH1
436,ENSG00000148671,ADIRF
437,ENSG00000148803,FUOM
438,ENSG00000148848,ADAM12
439,ENSG00000149150,SLC43A1
440,ENSG00000149212,SESN3
441,ENSG00000149257,SERPINH1
442,ENSG00000149273,RPS3
443,ENSG00000149564,ESAM
444,ENSG00000149591,TAGLN
445,ENSG00000149633,KIAA1755
446,ENSG00000149716,LTO1
447,ENSG00000149922,TBX6
448,ENSG00000150593,PDCD4
449,ENSG00000150687,PRSS23
450,ENSG00000151366,NDUFC2
451,ENSG00000151468,CCDC3
452,ENSG00000152049,KCNE4
453,ENSG00000152104,PTPN14
454,ENSG00000152137,HSPB8
455,ENSG00000152284,TCF7L1
456,ENSG00000152558,TMEM123
457,ENSG00000152661,GJA1
458,ENSG00000152926,ZNF117
459,ENSG00000154016,GRAP
460,ENSG00000154102,C16orf74
